        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202603211800,   3.961,   4.637,   0.400,   0.276,   4.637,   0.300,   4.537,   0.400,   4.637
202603211806,   3.832,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603211812,   3.701,   4.208,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603211818,   3.567,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603211824,   3.430,   3.890,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603211830,   3.292,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603211836,   3.152,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603211842,   3.010,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603211848,   2.868,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603211854,   2.725,   3.768,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603211900,   2.581,   3.650,   0.400,   0.669,   3.650,   0.400,   3.650,   0.500,   3.750
202603211906,   2.436,   3.499,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603211912,   2.291,   3.358,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603211918,   2.147,   3.207,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603211924,   2.003,   3.007,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603211930,   1.859,   2.797,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603211936,   1.716,   2.630,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603211942,   1.575,   2.450,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603211948,   1.435,   2.328,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603211954,   1.297,   2.059,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212000,   1.160,   1.918,   0.400,   0.358,   1.918,   0.400,   1.918,   0.500,   2.018
202603212006,   1.026,   1.800,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212012,   0.895,   1.649,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212018,   0.766,   1.528,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212024,   0.641,   1.420,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212030,   0.520,   1.308,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212036,   0.402,   1.190,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212042,   0.289,   1.098,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212048,   0.180,   1.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212054,   0.076,   0.898,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212100,  -0.021,   0.859,   0.500,   0.380,   0.859,   0.400,   0.759,   0.500,   0.859
202603212106,  -0.113,   0.770,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212112,  -0.199,   0.619,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212118,  -0.278,   0.541,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212124,  -0.351,   0.449,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212130,  -0.415,   0.370,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212136,  -0.472,   0.259,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212142,  -0.521,   0.180,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212148,  -0.561,   0.121,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212154,  -0.592,   0.059,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212200,  -0.613,   0.121,   0.500,   0.234,   0.121,   0.400,   0.021,   0.600,   0.221
202603212206,  -0.625,   0.078,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212212,  -0.626,  -0.068,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212218,  -0.618,  -0.088,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212224,  -0.598,  -0.078,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212230,  -0.569,  -0.049,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212236,  -0.529,   0.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212242,  -0.478,   0.068,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212248,  -0.417,   0.190,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212254,  -0.345,   0.350,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212300,  -0.263,   0.508,   0.500,   0.271,   0.508,   0.500,   0.508,   0.600,   0.608
202603212306,  -0.171,   1.029,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212312,  -0.070,   0.879,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212318,   0.040,   1.069,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212324,   0.159,   1.239,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212330,   0.287,   1.400,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212336,   0.422,   1.548,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212342,   0.565,   1.689,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212348,   0.715,   1.840,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603212354,   0.871,   2.299,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603220000,   1.034,   2.459,   0.500,   0.925,   2.459,   0.500,   2.459,   0.600,   2.559
202603220006,   1.201,   2.610,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
